radius_um,wavelength_nm,theta_deg,intensity
5.0,420.0,174.0,2.3778662127053115e-05
5.0,420.0,175.0,0.00012575514958364638
5.0,420.0,176.0,2.3580033923079943e-05
5.0,420.0,177.0,0.00018141625605776725
5.0,420.0,178.0,0.00028854611245386055
5.0,420.0,179.0,5.869832118642681e-05
5.0,420.0,180.0,2.1883745254300963e-05
5.0,430.0,0.0,1.0
5.0,430.0,1.0,0.6486534737720956
5.0,430.0,2.0,0.139081159746955
5.0,430.0,3.0,0.00024872065281801055
5.0,430.0,4.0,0.011912738143231516
5.0,430.0,5.0,0.004784221916311342
5.0,430.0,6.0,0.006527611000444803
5.0,430.0,7.0,0.0025791088474280896
5.0,430.0,8.0,0.0019023614661665066
5.0,430.0,9.0,0.006016778090132277
5.0,430.0,10.0,0.0031659229283693946
5.0,430.0,11.0,0.00035658042588553463
5.0,430.0,12.0,0.0015090577040759992
5.0,430.0,13.0,0.0031277607498361327
5.0,430.0,14.0,0.0016419211453896293
5.0,430.0,15.0,0.0009853855457457688
5.0,430.0,16.0,0.002798641258988444
5.0,430.0,17.0,0.002010327105616777
5.0,430.0,18.0,0.0007289480579018811
5.0,430.0,19.0,0.0018885207257993998
5.0,430.0,20.0,0.0017337136301564665
5.0,430.0,21.0,0.0005839361701259363
5.0,430.0,22.0,0.0013130345031768804
5.0,430.0,23.0,0.0014501471158285244
5.0,430.0,24.0,0.0005030862931960495
5.0,430.0,25.0,0.0010644670329298769
5.0,430.0,26.0,0.0012682526065244668
5.0,430.0,27.0,0.0004857425207473245
5.0,430.0,28.0,0.0010189167069239783
5.0,430.0,29.0,0.001071745763241557
5.0,430.0,30.0,0.00041189571751644335
5.0,430.0,31.0,0.0010119261277786364
5.0,430.0,32.0,0.0008153911278407531
5.0,430.0,33.0,0.0003750498561007317
5.0,430.0,34.0,0.0009283539948943195
5.0,430.0,35.0,0.0004642937115172149
5.0,430.0,36.0,0.0004117327412711775
5.0,430.0,37.0,0.0007649953461920521
5.0,430.0,38.0,0.00023083481947808957
5.0,430.0,39.0,0.00046277922194928395
5.0,430.0,40.0,0.0004943084967534805
5.0,430.0,41.0,0.00016161364795403584
5.0,430.0,42.0,0.00047843284085687186
5.0,430.0,43.0,0.00026561239693321517
5.0,430.0,44.0,0.00019479481882779483
5.0,430.0,45.0,0.00041432989098411896
5.0,430.0,46.0,0.00013894983364568962
5.0,430.0,47.0,0.0002483196170252296
5.0,430.0,48.0,0.0002728106307403401
5.0,430.0,49.0,0.00010444141847322352
5.0,430.0,50.0,0.00026954377168617635
5.0,430.0,51.0,0.0001441101989385725
5.0,430.0,52.0,0.00013135878599294525
5.0,430.0,53.0,0.00021471517492705684
5.0,430.0,54.0,8.766182593444784e-05
5.0,430.0,55.0,0.00013902657823906405
5.0,430.0,56.0,0.00013688134037198563
5.0,430.0,57.0,8.029128495813198e-05
5.0,430.0,58.0,0.00011669776094351153
5.0,430.0,59.0,9.630085020164834e-05
5.0,430.0,60.0,6.42344163981352e-05
5.0,430.0,61.0,0.00011027061723017524
5.0,430.0,62.0,6.115999112847397e-05
5.0,430.0,63.0,6.11036794122322e-05
5.0,430.0,64.0,0.00010711177632891864
5.0,430.0,65.0,2.639349348342309e-05
5.0,430.0,66.0,8.58849970854965e-05
5.0,430.0,67.0,6.384468871742782e-05
5.0,430.0,68.0,2.8953740816069254e-05
5.0,430.0,69.0,8.001255123819206e-05
